a,b,family_a,family_b,same_family,abs_spearman
loss_last,grad_norm_slope,loss,grad,False,0.7249429322046926
loss_last,cos_ref_mean,loss,cos,False,0.08102533465610205
loss_last,cos_ref_last,loss,cos,False,0.2797490112836708
loss_last,cos_ref_std,loss,cos,False,0.25148099746684
loss_last,cos_ref_slope,loss,cos,False,0.1457598846515611
loss_last,grad_norm_cv,loss,grad,False,0.48259766324959363
loss_last,update_contrib_mean,loss,update,False,0.03398916354355664
loss_std,loss_slope,loss,loss,True,0.9935004636439927
loss_std,loss_min,loss,loss,True,0.12684676627945463
loss_std,converge_epoch,loss,loss,True,0.22432247699600028
loss_std,loss_curvature,loss,loss,True,0.5294085677104071
loss_std,loss_rank,loss,loss,True,0.15217523119619186
loss_std,grad_norm_mean,loss,grad,False,0.8209410956148935
loss_std,grad_norm_last,loss,grad,False,0.32971600005785096
loss_std,grad_norm_std,loss,grad,False,0.586803808458881
loss_std,grad_norm_slope,loss,grad,False,0.034502590381206316
loss_std,cos_ref_mean,loss,cos,False,0.1777842175759474
loss_std,cos_ref_last,loss,cos,False,0.10777722118195189
loss_std,cos_ref_std,loss,cos,False,0.03874547602764587
loss_std,cos_ref_slope,loss,cos,False,0.27335570494274236
loss_std,grad_norm_cv,loss,grad,False,0.022490270636150774
loss_std,update_contrib_mean,loss,update,False,0.8220959746741034
loss_slope,loss_min,loss,loss,True,0.10776593128235028
loss_slope,converge_epoch,loss,loss,True,0.2361549955234478
loss_slope,loss_curvature,loss,loss,True,0.5440302306693159
loss_slope,loss_rank,loss,loss,True,0.168565907765859
loss_slope,grad_norm_mean,loss,grad,False,0.8156686962212335
loss_slope,grad_norm_last,loss,grad,False,0.34283898816136477
loss_slope,grad_norm_std,loss,grad,False,0.5714459642654638
loss_slope,grad_norm_slope,loss,grad,False,0.022579084068342564
loss_slope,cos_ref_mean,loss,cos,False,0.17509671271259147
loss_slope,cos_ref_last,loss,cos,False,0.10952541148125237
loss_slope,cos_ref_std,loss,cos,False,0.031429193594752394
loss_slope,cos_ref_slope,loss,cos,False,0.2709829237874875
loss_slope,grad_norm_cv,loss,grad,False,0.039023647519526694
loss_slope,update_contrib_mean,loss,update,False,0.8165333648350791
loss_min,converge_epoch,loss,loss,True,0.5511183994931584
loss_min,loss_curvature,loss,loss,True,0.6354895962243315
loss_min,loss_rank,loss,loss,True,0.9260095445966949
loss_min,grad_norm_mean,loss,grad,False,0.010985111704475725
loss_min,grad_norm_last,loss,grad,False,0.6509918818726401
loss_min,grad_norm_std,loss,grad,False,0.29149910941465224
loss_min,grad_norm_slope,loss,grad,False,0.7207978949688606
loss_min,cos_ref_mean,loss,cos,False,0.07963481108940353
loss_min,cos_ref_last,loss,cos,False,0.27547002345623806
loss_min,cos_ref_std,loss,cos,False,0.2529507390408809
loss_min,cos_ref_slope,loss,cos,False,0.14575705706985148
loss_min,grad_norm_cv,loss,grad,False,0.48673163104037265
loss_min,update_contrib_mean,loss,update,False,0.03469899458062967
converge_epoch,loss_curvature,loss,loss,True,0.8210498614921508
converge_epoch,loss_rank,loss,loss,True,0.7285770392377626
converge_epoch,grad_norm_mean,loss,grad,False,0.20365190224214558
converge_epoch,grad_norm_last,loss,grad,False,0.36375040505222433
converge_epoch,grad_norm_std,loss,grad,False,0.0721514042243291
converge_epoch,grad_norm_slope,loss,grad,False,0.3037992218044814
converge_epoch,cos_ref_mean,loss,cos,False,0.21050861791061762
converge_epoch,cos_ref_last,loss,cos,False,0.15571767304919618
converge_epoch,cos_ref_std,loss,cos,False,0.13048241937788246
converge_epoch,cos_ref_slope,loss,cos,False,0.11316810739262996
converge_epoch,grad_norm_cv,loss,grad,False,0.11669714026619717
converge_epoch,update_contrib_mean,loss,update,False,0.19395280876756055
loss_curvature,loss_rank,loss,loss,True,0.854725758886194
loss_curvature,grad_norm_mean,loss,grad,False,0.45884512945850897
loss_curvature,grad_norm_last,loss,grad,False,0.5435593153775857
loss_curvature,grad_norm_std,loss,grad,False,0.20074055701472057
loss_curvature,grad_norm_slope,loss,grad,False,0.3863305263079923
loss_curvature,cos_ref_mean,loss,cos,False,0.24815281907999798
loss_curvature,cos_ref_last,loss,cos,False,0.16036899170538038
loss_curvature,cos_ref_std,loss,cos,False,0.15072628581182673
loss_curvature,cos_ref_slope,loss,cos,False,0.14765870171298234
loss_curvature,grad_norm_cv,loss,grad,False,0.21800904614806024
loss_curvature,update_contrib_mean,loss,update,False,0.44549006665381685
loss_rank,grad_norm_mean,loss,grad,False,0.2055293527506189
loss_rank,grad_norm_last,loss,grad,False,0.6679379013808984
loss_rank,grad_norm_std,loss,grad,False,0.08283515283559995
loss_rank,grad_norm_slope,loss,grad,False,0.6505675114612288
loss_rank,cos_ref_mean,loss,cos,False,0.1554987662514147
loss_rank,cos_ref_last,loss,cos,False,0.2296398576798693
loss_rank,cos_ref_std,loss,cos,False,0.21873508432208355
loss_rank,cos_ref_slope,loss,cos,False,0.031127102930992762
loss_rank,grad_norm_cv,loss,grad,False,0.3901284733159112
loss_rank,update_contrib_mean,loss,update,False,0.18257998968150654
grad_norm_mean,grad_norm_last,grad,grad,True,0.5097779965241886
grad_norm_mean,grad_norm_std,grad,grad,True,0.6732770409870408
grad_norm_mean,grad_norm_slope,grad,grad,True,0.1257224045796577
grad_norm_mean,cos_ref_mean,grad,cos,False,0.21130797758772948
grad_norm_mean,cos_ref_last,grad,cos,False,0.005323999676358012
grad_norm_mean,cos_ref_std,grad,cos,False,0.019710285569236333
grad_norm_mean,cos_ref_slope,grad,cos,False,0.20221001989228718
grad_norm_mean,grad_norm_cv,grad,grad,True,0.020071222651101384
grad_norm_mean,update_contrib_mean,grad,update,False,0.986678850681801
grad_norm_last,grad_norm_std,grad,grad,True,0.12109143847273716
grad_norm_last,grad_norm_slope,grad,grad,True,0.8437183912378037
grad_norm_last,cos_ref_mean,grad,cos,False,0.06816417689414206
grad_norm_last,cos_ref_last,grad,cos,False,0.1816243653850134
grad_norm_last,cos_ref_std,grad,cos,False,0.1460209280969493
grad_norm_last,cos_ref_slope,grad,cos,False,0.07713105065734467
grad_norm_last,grad_norm_cv,grad,grad,True,0.3910456422772305
grad_norm_last,update_contrib_mean,grad,update,False,0.4785590160376044
grad_norm_std,grad_norm_slope,grad,grad,True,0.09787774961596925
grad_norm_std,cos_ref_mean,grad,cos,False,0.19625397468302172
grad_norm_std,cos_ref_last,grad,cos,False,0.004225253341687198
grad_norm_std,cos_ref_std,grad,cos,False,0.14162516549056023
grad_norm_std,cos_ref_slope,grad,cos,False,0.1997513817975624
grad_norm_std,grad_norm_cv,grad,grad,True,0.6365374970728741
grad_norm_std,update_contrib_mean,grad,update,False,0.6800017761493715
grad_norm_slope,cos_ref_mean,grad,cos,False,0.057759034923562685
grad_norm_slope,cos_ref_last,grad,cos,False,0.2045409634370121
grad_norm_slope,cos_ref_std,grad,cos,False,0.21410559109155167
grad_norm_slope,cos_ref_slope,grad,cos,False,0.22850498087667015
grad_norm_slope,grad_norm_cv,grad,grad,True,0.30122529936240794
grad_norm_slope,update_contrib_mean,grad,update,False,0.08403808344898886
cos_ref_mean,cos_ref_last,cos,cos,True,0.4126318247333196
cos_ref_mean,cos_ref_std,cos,cos,True,0.15438373175452402
cos_ref_mean,cos_ref_slope,cos,cos,True,0.7521177438079303
cos_ref_mean,grad_norm_cv,cos,grad,False,0.03312763653320471
cos_ref_mean,update_contrib_mean,cos,update,False,0.2234603068441707
cos_ref_last,cos_ref_std,cos,cos,True,0.07408875637186878
cos_ref_last,cos_ref_slope,cos,cos,True,0.10021838068214692
cos_ref_last,grad_norm_cv,cos,grad,False,0.029884459196185237
cos_ref_last,update_contrib_mean,cos,update,False,0.009169724741105691
cos_ref_std,cos_ref_slope,cos,cos,True,0.17720630379586094
cos_ref_std,grad_norm_cv,cos,grad,False,0.19573817245345854
cos_ref_std,update_contrib_mean,cos,update,False,0.04942545086301454
cos_ref_slope,grad_norm_cv,cos,grad,False,0.08288941036963213
cos_ref_slope,update_contrib_mean,cos,update,False,0.21891654542831485
grad_norm_cv,update_contrib_mean,grad,update,False,0.0036489903294572015
