tag,dataset,noise_type,feature,n_pos,n_neg,auc,auc_dir,is_new
ratio10,mixed,keyword,max_token_loss,32,1672,0.5699,0.5699,False
ratio10,mixed,keyword,hard_loss_mean,32,1672,0.5459,0.5459,False
ratio10,mixed,keyword,entropy,32,1672,0.601,0.601,False
ratio10,mixed,unrelated,n_tokens,43,1672,0.4712,0.5288,True
ratio10,mixed,unrelated,top20_share,43,1672,0.4647,0.5353,True
ratio10,mixed,unrelated,top20_share_ok,38,1462,0.4637,0.5363,True
ratio10,mixed,unrelated,top8_share,43,1672,0.4971,0.5029,True
ratio10,mixed,unrelated,top8_loss_mean,43,1672,0.6415,0.6415,True
ratio10,mixed,unrelated,top32_share,43,1672,0.5184,0.5184,True
ratio10,mixed,unrelated,top32_loss_mean,43,1672,0.6551,0.6551,True
ratio10,mixed,unrelated,top1_over_top8,43,1672,0.5689,0.5689,True
ratio10,mixed,unrelated,hard_gini,43,1672,0.4965,0.5035,True
ratio10,mixed,unrelated,top20_share_std,43,1672,0.7223,0.7223,True
ratio10,mixed,unrelated,top8_share_std,43,1672,0.6332,0.6332,True
ratio10,mixed,unrelated,frac_hard,43,1672,0.7305,0.7305,False
ratio10,mixed,unrelated,max_token_loss,43,1672,0.7232,0.7232,False
ratio10,mixed,unrelated,hard_loss_mean,43,1672,0.6551,0.6551,False
ratio10,mixed,unrelated,entropy,43,1672,0.7061,0.7061,False
ratio10,mixed,ALL,n_tokens,200,1672,0.5427,0.5427,True
ratio10,mixed,ALL,top20_share,200,1672,0.397,0.603,True
ratio10,mixed,ALL,top20_share_ok,164,1462,0.404,0.596,True
ratio10,mixed,ALL,top8_share,200,1672,0.4236,0.5764,True
ratio10,mixed,ALL,top8_loss_mean,200,1672,0.5841,0.5841,True
ratio10,mixed,ALL,top32_share,200,1672,0.4463,0.5537,True
ratio10,mixed,ALL,top32_loss_mean,200,1672,0.5912,0.5912,True
ratio10,mixed,ALL,top1_over_top8,200,1672,0.4373,0.5627,True
ratio10,mixed,ALL,hard_gini,200,1672,0.4195,0.5805,True
ratio10,mixed,ALL,top20_share_std,200,1672,0.58,0.58,True
ratio10,mixed,ALL,top8_share_std,200,1672,0.5782,0.5782,True
ratio10,mixed,ALL,frac_hard,200,1672,0.6097,0.6097,False
ratio10,mixed,ALL,max_token_loss,200,1672,0.5851,0.5851,False
ratio10,mixed,ALL,hard_loss_mean,200,1672,0.5912,0.5912,False
ratio10,mixed,ALL,entropy,200,1672,0.6295,0.6295,False
ratio10,unrelated,unrelated,n_tokens,155,1672,0.4423,0.5577,True
ratio10,unrelated,unrelated,top20_share,155,1672,0.513,0.513,True
ratio10,unrelated,unrelated,top20_share_ok,140,1462,0.5104,0.5104,True
ratio10,unrelated,unrelated,top8_share,155,1672,0.5471,0.5471,True
ratio10,unrelated,unrelated,top8_loss_mean,155,1672,0.5991,0.5991,True
ratio10,unrelated,unrelated,top32_share,155,1672,0.5634,0.5634,True
ratio10,unrelated,unrelated,top32_loss_mean,155,1672,0.6167,0.6167,True
ratio10,unrelated,unrelated,top1_over_top8,155,1672,0.5692,0.5692,True
ratio10,unrelated,unrelated,hard_gini,155,1672,0.5428,0.5428,True
ratio10,unrelated,unrelated,top20_share_std,155,1672,0.7268,0.7268,True
ratio10,unrelated,unrelated,top8_share_std,155,1672,0.61,0.61,True
ratio10,unrelated,unrelated,frac_hard,155,1672,0.7193,0.7193,False
ratio10,unrelated,unrelated,max_token_loss,155,1672,0.6504,0.6504,False
ratio10,unrelated,unrelated,hard_loss_mean,155,1672,0.6167,0.6167,False
ratio10,unrelated,unrelated,entropy,155,1672,0.6374,0.6374,False
