tag,dataset,noise_type,feature,n_pos,n_neg,auc,auc_dir,is_new
extra10,mixed,keyword,top20_share,22,1672,0.3777,0.6223,True
extra10,mixed,keyword,top20_share_ok,17,1462,0.3912,0.6088,True
extra10,mixed,keyword,top8_share,22,1672,0.3604,0.6396,True
extra10,mixed,keyword,top8_loss_mean,22,1672,0.6948,0.6948,True
extra10,mixed,keyword,top32_share,22,1672,0.3804,0.6196,True
extra10,mixed,keyword,top32_loss_mean,22,1672,0.6874,0.6874,True
extra10,mixed,keyword,top1_over_top8,22,1672,0.3709,0.6291,True
extra10,mixed,keyword,hard_gini,22,1672,0.3832,0.6168,True
extra10,mixed,keyword,top20_share_std,22,1672,0.5807,0.5807,True
extra10,mixed,keyword,top8_share_std,22,1672,0.6779,0.6779,True
extra10,mixed,keyword,frac_hard,22,1672,0.7082,0.7082,False
extra10,mixed,keyword,max_token_loss,22,1672,0.7242,0.7242,False
extra10,mixed,keyword,hard_loss_mean,22,1672,0.6874,0.6874,False
extra10,mixed,keyword,entropy,22,1672,0.7062,0.7062,False
extra10,mixed,near_duplicate,n_tokens,17,1672,0.4298,0.5702,True
extra10,mixed,near_duplicate,top20_share,17,1672,0.6278,0.6278,True
extra10,mixed,near_duplicate,top20_share_ok,17,1462,0.5896,0.5896,True
extra10,mixed,near_duplicate,top8_share,17,1672,0.5804,0.5804,True
extra10,mixed,near_duplicate,top8_loss_mean,17,1672,0.5489,0.5489,True
extra10,mixed,near_duplicate,top32_share,17,1672,0.5731,0.5731,True
extra10,mixed,near_duplicate,top32_loss_mean,17,1672,0.5333,0.5333,True
extra10,mixed,near_duplicate,top1_over_top8,17,1672,0.5967,0.5967,True
extra10,mixed,near_duplicate,hard_gini,17,1672,0.6349,0.6349,True
extra10,mixed,near_duplicate,top20_share_std,17,1672,0.4577,0.5423,True
extra10,mixed,near_duplicate,top8_share_std,17,1672,0.518,0.518,True
extra10,mixed,near_duplicate,frac_hard,17,1672,0.5762,0.5762,False
extra10,mixed,near_duplicate,max_token_loss,17,1672,0.6314,0.6314,False
extra10,mixed,near_duplicate,hard_loss_mean,17,1672,0.5333,0.5333,False
extra10,mixed,near_duplicate,entropy,17,1672,0.5259,0.5259,False
extra10,mixed,template,n_tokens,27,1672,0.1136,0.8864,True
extra10,mixed,template,top20_share,27,1672,0.9797,0.9797,True
extra10,mixed,template,top20_share_ok,27,1462,0.9786,0.9786,True
extra10,mixed,template,top8_share,27,1672,0.9089,0.9089,True
extra10,mixed,template,top8_loss_mean,27,1672,0.2608,0.7392,True
extra10,mixed,template,top32_share,27,1672,0.7432,0.7432,True
extra10,mixed,template,top32_loss_mean,27,1672,0.3534,0.6466,True
extra10,mixed,template,top1_over_top8,27,1672,0.9218,0.9218,True
extra10,mixed,template,hard_gini,27,1672,0.9112,0.9112,True
extra10,mixed,template,top20_share_std,27,1672,0.1219,0.8781,True
extra10,mixed,template,top8_share_std,27,1672,0.1061,0.8939,True
extra10,mixed,template,frac_hard,27,1672,0.4309,0.5691,False
extra10,mixed,template,max_token_loss,27,1672,0.3688,0.6312,False
extra10,mixed,template,hard_loss_mean,27,1672,0.3534,0.6466,False
extra10,mixed,template,entropy,27,1672,0.3672,0.6328,False
extra10,mixed,truncation,n_tokens,21,1672,0.3267,0.6733,True
extra10,mixed,truncation,top20_share,21,1672,0.5823,0.5823,True
extra10,mixed,truncation,top20_share_ok,21,1462,0.5389,0.5389,True
extra10,mixed,truncation,top8_share,21,1672,0.67,0.67,True
extra10,mixed,truncation,top8_loss_mean,21,1672,0.4483,0.5517,True
extra10,mixed,truncation,top32_share,21,1672,0.6476,0.6476,True
extra10,mixed,truncation,top32_loss_mean,21,1672,0.4826,0.5174,True
extra10,mixed,truncation,top1_over_top8,21,1672,0.6825,0.6825,True
extra10,mixed,truncation,hard_gini,21,1672,0.6146,0.6146,True
extra10,mixed,truncation,top20_share_std,21,1672,0.5273,0.5273,True
extra10,mixed,truncation,top8_share_std,21,1672,0.3434,0.6566,True
extra10,mixed,truncation,frac_hard,21,1672,0.5232,0.5232,False
extra10,mixed,truncation,max_token_loss,21,1672,0.5282,0.5282,False
extra10,mixed,truncation,hard_loss_mean,21,1672,0.4826,0.5174,False
extra10,mixed,truncation,entropy,21,1672,0.4767,0.5233,False
extra10,mixed,unrelated,n_tokens,25,1672,0.5167,0.5167,True
extra10,mixed,unrelated,top20_share,25,1672,0.3698,0.6302,True
extra10,mixed,unrelated,top20_share_ok,21,1462,0.3674,0.6326,True
extra10,mixed,unrelated,top8_share,25,1672,0.4539,0.5461,True
extra10,mixed,unrelated,top8_loss_mean,25,1672,0.7054,0.7054,True
extra10,mixed,unrelated,top32_share,25,1672,0.4718,0.5282,True
extra10,mixed,unrelated,top32_loss_mean,25,1672,0.7124,0.7124,True
extra10,mixed,unrelated,top1_over_top8,25,1672,0.4817,0.5183,True
extra10,mixed,unrelated,hard_gini,25,1672,0.4164,0.5836,True
extra10,mixed,unrelated,top20_share_std,25,1672,0.7333,0.7333,True
extra10,mixed,unrelated,top8_share_std,25,1672,0.6274,0.6274,True
extra10,mixed,unrelated,frac_hard,25,1672,0.8041,0.8041,False
extra10,mixed,unrelated,max_token_loss,25,1672,0.7646,0.7646,False
extra10,mixed,unrelated,hard_loss_mean,25,1672,0.7124,0.7124,False
extra10,mixed,unrelated,entropy,25,1672,0.7377,0.7377,False
extra10,mixed,ALL,n_tokens,181,1672,0.4377,0.5623,True
extra10,mixed,ALL,top20_share,181,1672,0.5047,0.5047,True
extra10,mixed,ALL,top20_share_ok,160,1462,0.513,0.513,True
extra10,mixed,ALL,top8_share,181,1672,0.5438,0.5438,True
extra10,mixed,ALL,top8_loss_mean,181,1672,0.5285,0.5285,True
extra10,mixed,ALL,top32_share,181,1672,0.5187,0.5187,True
extra10,mixed,ALL,top32_loss_mean,181,1672,0.5477,0.5477,True
extra10,mixed,ALL,top1_over_top8,181,1672,0.5531,0.5531,True
extra10,mixed,ALL,hard_gini,181,1672,0.5173,0.5173,True
extra10,mixed,ALL,top20_share_std,181,1672,0.5212,0.5212,True
extra10,mixed,ALL,top8_share_std,181,1672,0.4736,0.5264,True
extra10,mixed,ALL,frac_hard,181,1672,0.5865,0.5865,False
extra10,mixed,ALL,max_token_loss,181,1672,0.5693,0.5693,False
extra10,mixed,ALL,hard_loss_mean,181,1672,0.5477,0.5477,False
extra10,mixed,ALL,entropy,181,1672,0.5651,0.5651,False
extra10,near_duplicate,near_duplicate,n_tokens,155,1672,0.5167,0.5167,True
extra10,near_duplicate,near_duplicate,top20_share,155,1672,0.4812,0.5188,True
extra10,near_duplicate,near_duplicate,top20_share_ok,134,1462,0.4838,0.5162,True
extra10,near_duplicate,near_duplicate,top8_share,155,1672,0.4771,0.5229,True
extra10,near_duplicate,near_duplicate,top8_loss_mean,155,1672,0.6257,0.6257,True
extra10,near_duplicate,near_duplicate,top32_share,155,1672,0.4785,0.5215,True
extra10,near_duplicate,near_duplicate,top32_loss_mean,155,1672,0.611,0.611,True
extra10,near_duplicate,near_duplicate,top1_over_top8,155,1672,0.4902,0.5098,True
extra10,near_duplicate,near_duplicate,hard_gini,155,1672,0.492,0.508,True
extra10,near_duplicate,near_duplicate,top20_share_std,155,1672,0.4766,0.5234,True
extra10,near_duplicate,near_duplicate,top8_share_std,155,1672,0.5078,0.5078,True
extra10,near_duplicate,near_duplicate,frac_hard,155,1672,0.645,0.645,False
extra10,near_duplicate,near_duplicate,max_token_loss,155,1672,0.6801,0.6801,False
extra10,near_duplicate,near_duplicate,hard_loss_mean,155,1672,0.611,0.611,False
extra10,near_duplicate,near_duplicate,entropy,155,1672,0.5951,0.5951,False
extra10,template,template,n_tokens,155,1672,0.1136,0.8864,True
extra10,template,template,top20_share,155,1672,0.9994,0.9994,True
extra10,template,template,top20_share_ok,155,1462,0.9994,0.9994,True
extra10,template,template,top8_share,155,1672,0.9238,0.9238,True
extra10,template,template,top8_loss_mean,155,1672,0.083,0.917,True
extra10,template,template,top32_share,155,1672,0.7648,0.7648,True
extra10,template,template,top32_loss_mean,155,1672,0.0962,0.9038,True
extra10,template,template,top1_over_top8,155,1672,0.967,0.967,True
extra10,template,template,hard_gini,155,1672,0.9672,0.9672,True
extra10,template,template,top20_share_std,155,1672,0.0032,0.9968,True
extra10,template,template,top8_share_std,155,1672,0.0765,0.9235,True
extra10,template,template,frac_hard,155,1672,0.1385,0.8615,False
extra10,template,template,max_token_loss,155,1672,0.1204,0.8796,False
extra10,template,template,hard_loss_mean,155,1672,0.0962,0.9038,False
extra10,template,template,entropy,155,1672,0.1392,0.8608,False
extra10,truncation,truncation,n_tokens,155,1672,0.3492,0.6508,True
extra10,truncation,truncation,top20_share,155,1672,0.5142,0.5142,True
extra10,truncation,truncation,top20_share_ok,150,1462,0.4755,0.5245,True
extra10,truncation,truncation,top8_share,155,1672,0.6146,0.6146,True
extra10,truncation,truncation,top8_loss_mean,155,1672,0.4846,0.5154,True
extra10,truncation,truncation,top32_share,155,1672,0.6335,0.6335,True
extra10,truncation,truncation,top32_loss_mean,155,1672,0.5045,0.5045,True
extra10,truncation,truncation,top1_over_top8,155,1672,0.6095,0.6095,True
extra10,truncation,truncation,hard_gini,155,1672,0.5742,0.5742,True
extra10,truncation,truncation,top20_share_std,155,1672,0.5427,0.5427,True
extra10,truncation,truncation,top8_share_std,155,1672,0.4433,0.5567,True
extra10,truncation,truncation,frac_hard,155,1672,0.575,0.575,False
extra10,truncation,truncation,max_token_loss,155,1672,0.5321,0.5321,False
extra10,truncation,truncation,hard_loss_mean,155,1672,0.5045,0.5045,False
extra10,truncation,truncation,entropy,155,1672,0.5226,0.5226,False
