tag,dataset,noise_type,feature,n_pos,n_neg,auc,auc_dir,is_new
ratio05,garbled,garbled,frac_hard,71,1756,0.9508,0.9508,False
ratio05,garbled,garbled,max_token_loss,71,1756,0.8121,0.8121,False
ratio05,garbled,garbled,hard_loss_mean,71,1756,0.8591,0.8591,False
ratio05,garbled,garbled,entropy,71,1756,0.9703,0.9703,False
ratio05,keyword,keyword,n_tokens,71,1756,0.5175,0.5175,True
ratio05,keyword,keyword,top20_share,71,1756,0.3709,0.6291,True
ratio05,keyword,keyword,top20_share_ok,61,1536,0.3519,0.6481,True
ratio05,keyword,keyword,top8_share,71,1756,0.43,0.57,True
ratio05,keyword,keyword,top8_loss_mean,71,1756,0.6277,0.6277,True
ratio05,keyword,keyword,top32_share,71,1756,0.4746,0.5254,True
ratio05,keyword,keyword,top32_loss_mean,71,1756,0.634,0.634,True
ratio05,keyword,keyword,top1_over_top8,71,1756,0.4003,0.5997,True
ratio05,keyword,keyword,hard_gini,71,1756,0.4064,0.5936,True
ratio05,keyword,keyword,top20_share_std,71,1756,0.5304,0.5304,True
ratio05,keyword,keyword,top8_share_std,71,1756,0.5132,0.5132,True
ratio05,keyword,keyword,frac_hard,71,1756,0.6669,0.6669,False
ratio05,keyword,keyword,max_token_loss,71,1756,0.6316,0.6316,False
ratio05,keyword,keyword,hard_loss_mean,71,1756,0.634,0.634,False
ratio05,keyword,keyword,entropy,71,1756,0.6767,0.6767,False
ratio05,mixed,duplicate,n_tokens,43,1756,0.4966,0.5034,True
ratio05,mixed,duplicate,top20_share,43,1756,0.4825,0.5175,True
ratio05,mixed,duplicate,top20_share_ok,38,1536,0.4495,0.5505,True
ratio05,mixed,duplicate,top8_share,43,1756,0.5004,0.5004,True
ratio05,mixed,duplicate,top8_loss_mean,43,1756,0.4201,0.5799,True
ratio05,mixed,duplicate,top32_share,43,1756,0.5124,0.5124,True
ratio05,mixed,duplicate,top32_loss_mean,43,1756,0.4177,0.5823,True
ratio05,mixed,duplicate,top1_over_top8,43,1756,0.5074,0.5074,True
ratio05,mixed,duplicate,hard_gini,43,1756,0.4707,0.5293,True
ratio05,mixed,duplicate,top20_share_std,43,1756,0.5956,0.5956,True
ratio05,mixed,duplicate,top8_share_std,43,1756,0.6103,0.6103,True
ratio05,mixed,duplicate,frac_hard,43,1756,0.3748,0.6252,False
ratio05,mixed,duplicate,max_token_loss,43,1756,0.3908,0.6092,False
ratio05,mixed,duplicate,hard_loss_mean,43,1756,0.4177,0.5823,False
ratio05,mixed,duplicate,entropy,43,1756,0.4114,0.5886,False
ratio05,mixed,garbled,n_tokens,17,1756,0.7867,0.7867,True
ratio05,mixed,garbled,top20_share,17,1756,0.0758,0.9242,True
ratio05,mixed,garbled,top8_share,17,1756,0.1194,0.8806,True
ratio05,mixed,garbled,top8_loss_mean,17,1756,0.9167,0.9167,True
ratio05,mixed,garbled,top32_share,17,1756,0.1486,0.8514,True
ratio05,mixed,garbled,top32_loss_mean,17,1756,0.9168,0.9168,True
ratio05,mixed,garbled,top1_over_top8,17,1756,0.0869,0.9131,True
ratio05,mixed,garbled,hard_gini,17,1756,0.1065,0.8935,True
ratio05,mixed,garbled,top20_share_std,17,1756,0.4349,0.5651,True
ratio05,mixed,garbled,top8_share_std,17,1756,0.4801,0.5199,True
ratio05,mixed,garbled,frac_hard,17,1756,0.9821,0.9821,False
ratio05,mixed,garbled,max_token_loss,17,1756,0.879,0.879,False
ratio05,mixed,garbled,hard_loss_mean,17,1756,0.9168,0.9168,False
ratio05,mixed,garbled,entropy,17,1756,0.9936,0.9936,False
ratio05,mixed,keyword,n_tokens,15,1756,0.4176,0.5824,True
ratio05,mixed,keyword,top20_share,15,1756,0.4899,0.5101,True
ratio05,mixed,keyword,top20_share_ok,14,1536,0.4699,0.5301,True
ratio05,mixed,keyword,top8_share,15,1756,0.5357,0.5357,True
ratio05,mixed,keyword,top8_loss_mean,15,1756,0.5847,0.5847,True
ratio05,mixed,keyword,top32_share,15,1756,0.5425,0.5425,True
ratio05,mixed,keyword,top32_loss_mean,15,1756,0.5905,0.5905,True
ratio05,mixed,keyword,top1_over_top8,15,1756,0.5232,0.5232,True
ratio05,mixed,keyword,hard_gini,15,1756,0.5205,0.5205,True
ratio05,mixed,keyword,top20_share_std,15,1756,0.5752,0.5752,True
ratio05,mixed,keyword,top8_share_std,15,1756,0.4888,0.5112,True
ratio05,mixed,keyword,frac_hard,15,1756,0.6619,0.6619,False
ratio05,mixed,keyword,max_token_loss,15,1756,0.6222,0.6222,False
ratio05,mixed,keyword,hard_loss_mean,15,1756,0.5905,0.5905,False
ratio05,mixed,keyword,entropy,15,1756,0.6601,0.6601,False
ratio05,mixed,unrelated,n_tokens,19,1756,0.579,0.579,True
ratio05,mixed,unrelated,top20_share,19,1756,0.4943,0.5057,True
ratio05,mixed,unrelated,top20_share_ok,15,1536,0.5605,0.5605,True
ratio05,mixed,unrelated,top8_share,19,1756,0.4386,0.5614,True
ratio05,mixed,unrelated,top8_loss_mean,19,1756,0.6836,0.6836,True
ratio05,mixed,unrelated,top32_share,19,1756,0.4238,0.5762,True
ratio05,mixed,unrelated,top32_loss_mean,19,1756,0.6652,0.6652,True
ratio05,mixed,unrelated,top1_over_top8,19,1756,0.5545,0.5545,True
ratio05,mixed,unrelated,hard_gini,19,1756,0.5031,0.5031,True
ratio05,mixed,unrelated,top20_share_std,19,1756,0.6936,0.6936,True
ratio05,mixed,unrelated,top8_share_std,19,1756,0.7437,0.7437,True
ratio05,mixed,unrelated,frac_hard,19,1756,0.6875,0.6875,False
ratio05,mixed,unrelated,max_token_loss,19,1756,0.8,0.8,False
ratio05,mixed,unrelated,hard_loss_mean,19,1756,0.6652,0.6652,False
ratio05,mixed,unrelated,entropy,19,1756,0.6491,0.6491,False
ratio05,mixed,ALL,n_tokens,94,1756,0.5531,0.5531,True
ratio05,mixed,ALL,top20_share,94,1756,0.4125,0.5875,True
ratio05,mixed,ALL,top20_share_ok,76,1536,0.4291,0.5709,True
ratio05,mixed,ALL,top8_share,94,1756,0.4246,0.5754,True
ratio05,mixed,ALL,top8_loss_mean,94,1756,0.5894,0.5894,True
ratio05,mixed,ALL,top32_share,94,1756,0.4335,0.5665,True
ratio05,mixed,ALL,top32_loss_mean,94,1756,0.5855,0.5855,True
ratio05,mixed,ALL,top1_over_top8,94,1756,0.4434,0.5566,True
ratio05,mixed,ALL,hard_gini,94,1756,0.4193,0.5807,True
ratio05,mixed,ALL,top20_share_std,94,1756,0.5831,0.5831,True
ratio05,mixed,ALL,top8_share_std,94,1756,0.5943,0.5943,True
ratio05,mixed,ALL,frac_hard,94,1756,0.5937,0.5937,False
ratio05,mixed,ALL,max_token_loss,94,1756,0.5987,0.5987,False
ratio05,mixed,ALL,hard_loss_mean,94,1756,0.5855,0.5855,False
ratio05,mixed,ALL,entropy,94,1756,0.6044,0.6044,False
ratio05,unrelated,unrelated,n_tokens,71,1756,0.4251,0.5749,True
ratio05,unrelated,unrelated,top20_share,71,1756,0.5203,0.5203,True
ratio05,unrelated,unrelated,top20_share_ok,62,1536,0.5423,0.5423,True
ratio05,unrelated,unrelated,top8_share,71,1756,0.5708,0.5708,True
ratio05,unrelated,unrelated,top8_loss_mean,71,1756,0.5364,0.5364,True
ratio05,unrelated,unrelated,top32_share,71,1756,0.5573,0.5573,True
ratio05,unrelated,unrelated,top32_loss_mean,71,1756,0.5509,0.5509,True
ratio05,unrelated,unrelated,top1_over_top8,71,1756,0.6093,0.6093,True
ratio05,unrelated,unrelated,hard_gini,71,1756,0.5391,0.5391,True
ratio05,unrelated,unrelated,top20_share_std,71,1756,0.5933,0.5933,True
ratio05,unrelated,unrelated,top8_share_std,71,1756,0.4827,0.5173,True
ratio05,unrelated,unrelated,frac_hard,71,1756,0.6184,0.6184,False
ratio05,unrelated,unrelated,max_token_loss,71,1756,0.6134,0.6134,False
ratio05,unrelated,unrelated,hard_loss_mean,71,1756,0.5509,0.5509,False
ratio05,unrelated,unrelated,entropy,71,1756,0.6159,0.6159,False
